baikjika,baik jika
sptnya,sepertinya
pengkianat,penghianat
bln,bulan
msyrakat,masyarakat
terjadiyg,terjadi yang
aamiinbmkg,amin bmkg
pinda,pindah
ituya,itu ya
spekulasi,spekulasi
gempasaya,gempa saya
ayoo,ayo
sdgkn,sedangkan
inikiamat,ini kiamat
knapa,kenapa
blh,boleh
gempadan,gempa dan
pnting,penting
step,langkah
dtgnya,datangnya
gempalempeng,gempa lempeng
dimnapun,dimanapun
kembli,kembali
klian,kalian
gek,tidak
indonesiakarena,indonesia karena
olh,oleh
lbih,lebih
pling,paling
jepangjadi,jepang jadi
dimanamana,dimana mana
negaranegara,negara negara
kwartir,khawatir
ilang,hilang
issu,isu
aminkalo,amin kalau
inibiar,ini biar
amansmga,aman semoga
aminallah,amin allah
kmi,kami
allahapapun,allah apapun
terjadijgn,terjadi jangan
allohgempa,allah gempa
marabaya,marabahaya
swtmusibah,swt musibah
lur,saudara
ojo,jangan 
tembung,bicara
dunya,dunia
mung,Cuma
urip,hidup
dimn,dimana
nnti,nanti
td,tadi
bumigunung,bumi gunung
kuada,ku ada
indonesiadi,indonesia di
sndiri,sendiri
allahmaka,allah maka
aamiinsama,amin sama
kjadian,kejadian
dosakenapa,dosa kenapa
stiap,setiap
pindahbmkg,pindah bmkg
masyarakatkiamat,masyarakat kiamat
syariat,syariat
kirakira,kira kira
gx,tidak
agam,agama
allahaamiin,allah amin
isue,isu
safety,keamanan
planning,rencana
dirisemoga,diri semoga
doangbmkg,doang bmkg
sblmnya,sebelumnya
ajha,saja
lagisemoga,lagi semoga
kalimantansudah,kalimantan sudah
buruksemoga,buruk semoga
allahkalau,allah kalau
seblum,sebelum
drpd,dari pada
gt,gitu
hbs,habis
lalukenapa,lalu kenapa
bertahuntahun,bertahun tahun
ketrunan,keterunan
ammin,amin
kuasasmoga,kuasa semoga
iniyang,ini yang
pulaupulau,pulau pulau
tuhanitu,tuhan itu
hannya,hanya
tetab,tetap
bencanasaya,bencana saya
kdg,kadang
baikbiar,baik biar
mrka,mereka
gempabumi,gempa bumi
bhw,bahwa
dipikirpikir,dipikir pikir
shgga,sehingga
ikngempa,ikn gempa
gimna,gimana
mkin,makin
gempaseharusnya,gempa
yayg,gempa seharusnya
blom,belum
